listing_id,property_id,agent_id,listed_price,listing_date
1,68,5,920094,2023-10-20
2,91,8,198818,2023-11-21
3,64,2,252360,2023-02-10
4,17,4,877915,2023-11-14
5,12,7,719369,2023-11-12
6,22,3,661165,2023-04-21
7,17,5,473706,2023-01-14
8,10,8,311957,2023-08-19
9,65,10,172715,2023-03-25
10,22,3,241398,2023-05-10
11,90,4,734379,2023-08-19
12,82,9,619052,2023-11-22
13,50,7,232632,2023-05-25
14,14,1,965580,2023-12-11
15,64,4,183186,2023-01-28
16,47,4,787250,2023-03-07
17,29,9,251094,2023-06-12
18,76,6,694604,2023-08-17
19,36,9,128380,2023-09-18
20,99,6,734486,2023-06-13
21,52,6,364500,2023-10-28
22,76,5,170326,2023-10-30
23,7,5,978879,2023-10-14
24,29,2,739282,2023-01-10
25,11,8,320971,2023-07-14
26,33,8,906481,2023-04-28
27,6,1,568933,2023-09-27
28,79,8,991793,2023-03-21
29,32,5,902514,2023-04-03
30,51,2,887093,2023-09-23
31,75,2,268484,2023-11-28
32,58,6,889352,2023-12-16
33,87,9,584410,2023-12-27
34,26,1,869666,2023-09-14
35,98,6,441705,2023-05-13
36,46,9,895378,2023-10-03
37,98,8,325314,2023-09-21
38,29,6,538716,2023-06-20
39,4,3,859900,2023-01-01
40,81,8,902741,2023-11-09
41,99,9,679518,2023-03-05
42,13,1,998254,2023-10-11
43,39,9,591872,2023-05-01
44,15,6,616998,2023-04-17
45,29,6,619984,2023-06-24
46,29,4,565757,2023-07-23
47,75,1,474484,2023-06-14
48,32,10,608062,2023-11-01
49,2,8,683609,2023-04-30
50,47,2,232028,2023-02-13
51,78,1,331447,2023-11-08
52,84,2,960563,2023-06-05
53,22,1,541124,2023-07-26
54,75,1,912395,2023-04-18
55,27,9,726045,2023-09-08
56,67,1,532659,2023-11-30
57,81,4,985691,2023-05-10
58,56,10,401207,2023-10-20
59,92,6,476369,2023-01-20
60,93,7,478544,2023-10-09
61,21,2,442962,2023-10-12
62,47,6,366847,2023-01-01
63,80,7,820488,2023-04-29
64,59,10,696387,2023-02-04
65,84,10,519065,2023-07-17
66,6,2,787220,2023-09-02
67,19,2,131585,2023-02-28
68,57,10,515231,2023-11-21
69,69,7,667873,2023-06-10
70,3,1,389102,2023-06-28
71,1,8,388161,2023-07-25
72,58,3,486821,2023-01-12
73,38,6,915858,2023-10-03
74,15,9,379922,2023-06-30
75,34,6,800601,2023-08-30
76,61,9,142229,2023-08-04
77,35,7,186652,2023-09-08
78,64,9,349474,2023-10-26
79,25,2,803724,2023-05-06
80,24,8,360116,2023-08-05
81,12,8,971310,2023-11-02
82,18,2,943488,2023-10-12
83,15,4,620985,2023-07-04
84,80,7,119975,2023-02-08
85,27,4,257795,2023-08-11
86,72,4,516495,2023-07-03
87,60,6,309373,2023-06-27
88,46,10,297133,2023-10-21
89,89,6,974829,2023-12-06
90,17,10,804513,2023-05-31
